annotator_id,sector,question_category,question,answer,supporting_facts,additional_info,source_1_company,source_1_filing_type,source_1_filing_date,source_1_sec_url,source_1_pdf_filename,Rating (for reviewer),Explanation (for reviewer)
A05,Industrials,A,,,,,Caterpillar,10-K,2026-02-13,https://www.google.com/search?q=site%3Asec.gov+%22Caterpillar+Inc%22+10-K+2026,Caterpillar_10K_2026.pdf,,
A05,Industrials,A,,,,,Boeing,10-K,2026-01-28,https://www.google.com/search?q=site%3Asec.gov+%22Boeing+Co%22+10-K+2026,Boeing_10K_2026.pdf,,
A05,Industrials,A,,,,,Watts Water Technologies,10-Q,2025-11-03,https://www.google.com/search?q=site%3Asec.gov+%22Watts+Water+Technologies%22+10-Q+2025,Watts_Water_Technologies_10Q_2025.pdf,,
A05,Industrials,B,,,,,Caterpillar,10-K,2026-02-13,https://www.google.com/search?q=site%3Asec.gov+%22Caterpillar+Inc%22+10-K+2026,Caterpillar_10K_2026.pdf,,
A05,Industrials,B,,,,,Boeing,10-K,2026-01-28,https://www.google.com/search?q=site%3Asec.gov+%22Boeing+Co%22+10-K+2026,Boeing_10K_2026.pdf,,
A05,Industrials,B,,,,,Watts Water Technologies,10-Q,2025-11-03,https://www.google.com/search?q=site%3Asec.gov+%22Watts+Water+Technologies%22+10-Q+2025,Watts_Water_Technologies_10Q_2025.pdf,,
A05,Industrials,C,,,,,Caterpillar,10-K,2026-02-13,https://www.google.com/search?q=site%3Asec.gov+%22Caterpillar+Inc%22+10-K+2026,Caterpillar_10K_2026.pdf,,
A05,Industrials,C,,,,,Caterpillar,10-K,2026-02-13,https://www.google.com/search?q=site%3Asec.gov+%22Caterpillar+Inc%22+10-K+2026,Caterpillar_10K_2026.pdf,,
A05,Industrials,C,,,,,Caterpillar,10-K,2026-02-13,https://www.google.com/search?q=site%3Asec.gov+%22Caterpillar+Inc%22+10-K+2026,Caterpillar_10K_2026.pdf,,
A05,Industrials,C,,,,,Caterpillar,10-K,2026-02-13,https://www.google.com/search?q=site%3Asec.gov+%22Caterpillar+Inc%22+10-K+2026,Caterpillar_10K_2026.pdf,,
